country,food_insecurity_14_21,population_change_14_21,percent_rural_21,agriculture_land_per_capita_14_20,productivity_14_19,GPD_per_cap_14_21,Climate_risk_18,political_stability_14_21,digital_adoption_14_16
Egypt,0.295166667,0.143001587,0.547484602,0.037604358,6248.418882,3073.631558,113.67,-1.309330389,0.516559631
El Salvador,0.432,0.016851689,0.266942892,0.193878274,2947.470443,4017.140574,44.33,-0.153511557,0.493166849
Equatorial Guinea,,0.261957577,0.234933,0.131899104,1437.284536,9113.807222,,-0.207561007,0.176588319
Eritrea,,0.089331638,0.89021112,2.190723589,,,125,-0.795004331,
Estonia,0.082,0.010783355,0.29855927,0.741138521,23749.33684,21815.68647,90.5,0.677447438,0.800252944
Eswatini,0.67,0.058982205,0.92801301,1.055161224,9918.131566,3736.350921,96.67,-0.308312831,
Ethiopia,0.573833333,0.205883968,0.746686769,0.344958387,761.1734016,761.4616795,62.83,-1.568496585,0.248099841
Fiji,0.168,0.009884661,0.425359881,0.341239289,5618.168636,5394.546589,22.5,0.707480207,0.446881652
Finland,0.084166667,0.013650612,0.145675427,0.412577123,55980.93111,48099.78728,125,1.018725894,0.798467129
France,0.061833333,0.014828988,0.19171708,0.447431737,51592.04139,40041.50864,46.17,0.202021992,0.749238372
French Polynesia,,0.048845529,0.364938559,0.156599423,,19676.19851,,,
Gabon,,0.190316012,0.089771436,1.022949254,4392.105245,7572.23676,125,-0.064923488,0.356521398
Gambia,0.5474,0.205981309,0.328773719,0.252776735,1611.366102,666.0474687,,-0.008539021,
Georgia,0.363166667,-0.004306833,0.415243029,0.636444937,1605.854159,4483.719436,97.83,-0.405093972,0.58122161
Germany,0.0365,0.018931728,0.222357254,0.201637791,42491.34396,46078.14766,13.83,0.687531263,0.820942074
Ghana,0.395333333,0.164442266,0.401478347,0.417140837,2744.088559,2055.14645,68.33,0.022706731,0.41594398
Greece,0.129166667,-0.038442897,0.211659621,0.566270475,16505.14974,19119.93281,23.67,0.008438726,0.590418339
Greenland,,0.005182921,0.126344612,4.333426956,,50906.07939,,1.920377687,
Grenada,0.23275,0.056267589,0.557619774,0.066006503,,8896.889412,70.5,0.951462097,0.521275938
Guatemala,0.468666667,0.120578742,0.494781862,0.230208691,3307.33793,4395.64658,77.33,-0.553350382,0.479302317
Guinea,0.735833333,0.19398837,0.654142365,1.175474887,764.5039776,918.2605811,125,-0.725273207,0.206593253
Guinea-Bissau,0.67725,0.182074434,0.550443752,0.421871551,1162.541751,696.2030331,47.5,-0.553063568,0.242474981
Guyana,,0.071163537,0.722355006,1.578144921,25403.88422,6590.498621,125,-0.13238439,0.338526309
Haiti,0.826,0.099381047,0.422214533,0.168719714,2086.143244,1434.93565,88.67,-0.798897885,0.248591967
Honduras,0.434166667,0.126042771,0.393832567,0.355779381,2379.574776,2402.922706,51.67,-0.523469761,0.418080166
Hungary,0.092666667,-0.016023164,0.274023032,0.519200632,23326.89984,15349.30011,107.17,0.762661912,0.663542837
Iceland,0.0675,0.130296908,0.056537999,5.384505745,117429.1186,64096.18894,125,1.38327156,0.721890092
India,,0.076739415,0.641415365,0.132344014,1849.260602,1876.363751,18.17,-0.855575867,0.476522043
Indonesia,0.066833333,0.068389519,0.428814139,0.225016925,3193.879596,3809.835145,68.17,-0.487158775,0.42363143
Iran (Islamic Republic of),0.435333333,0.099569704,0.226819695,0.554702108,10130.81911,4499.226832,64.83,-1.240161717,0.462970018
Iraq,,0.184700753,0.282702057,0.232360694,4606.983277,4999.206961,68.5,-2.419303358,0.281315431
Ireland,0.0745,0.07882861,0.356488064,0.935525912,26477.48733,74541.70457,76.5,0.954335734,0.648697346
Israel,0.126166667,0.131769239,0.072779518,0.070502472,98293.67247,42143.50505,89.5,-0.929238178,0.77116102
Italy,0.073166667,-0.017944495,0.285561108,0.218810521,42815.22352,33130.00166,33.67,0.407994416,0.749914616
Jamaica,0.4785,0.015496977,0.447495929,0.158235004,4505.230947,5208.310489,109.5,0.256180529,0.470595717
Japan,0.0315,-0.022468453,0.082304966,0.035263258,18758.96728,38882.68839,5.5,1.034576595,0.825667948
Jordan,0.350666667,0.28762353,0.077517712,0.107596502,31661.07531,4111.833468,56.33,-0.411411371,0.53680712
Kazakhstan,0.023,0.091185756,0.416527053,11.7357966,6318.066375,9925.138107,98.5,-0.085730323,0.65252617
Kenya,0.613333333,0.156523225,0.739016211,0.562060622,1705.046712,1757.341819,19.67,-1.173903599,0.427413031
Kiribati,0.41,0.120789668,0.42159784,0.279757161,,1518.745882,125,0.979089484,0.203779332
Kuwait,0.123333333,0.129873479,0,0.037864132,14636.95553,30830.51888,62.83,0.085527973,0.632940263
Kyrgyzstan,0.064,0.122682291,0.614498916,1.701971816,1712.042332,1238.210389,,-0.546776291,0.463088512
Lao People's Democratic Republic,0.306,0.109632824,0.616785029,0.310958783,1139.490881,2392.41576,35.5,0.537330963,0.230379388
Latvia,0.0965,-0.06818366,0.316062754,0.990800613,13925.62791,16840.15885,50,0.485713407,0.711194605
Lebanon,0.216666667,-0.108650596,0.116179129,0.112625284,7269.595534,7533.481185,67.17,-1.632566124,0.545872599
Lesotho,0.520333333,0.088873743,0.726848317,1.113019001,314.2873654,1084.516636,61.5,-0.267070862,0.277959451
Liberia,0.8052,0.14913889,0.477804204,0.390919155,1064.220232,685.1912641,125,-0.419519769,0.223274566
Libya,0.342833333,0.104548651,0.190352231,2.398180638,,9006.978837,125,-2.379498512,
Lithuania,0.121166667,-0.06954293,0.32358914,1.020917483,12570.13403,18194.13326,29.33,0.796256207,0.770227343
Luxembourg,0.035333333,0.149715233,0.079631359,0.221123034,40773.95658,115825.2749,84.33,1.339022756,0.85183242
Madagascar,0.595666667,0.194073408,0.597635647,1.55152353,365.5202669,491.078416,15.83,-0.455210704,0.24238725
Malawi,0.796,0.207050797,0.863164037,0.313474076,331.9615459,492.676129,83.67,-0.148548012,0.247019023
Malaysia,0.155,0.096953882,0.221151929,0.259789203,15159.92845,10469.57679,84.83,0.17837936,0.670420736
Maldives,0.134,0.25128258,0.526098988,0.013815337,10809.01155,9700.076026,103.33,0.345582131,0.495620683
Mali,,0.248018182,0.527665235,2.114144465,1370.883209,810.1128072,125,-1.962520033,0.303384021
Malta,0.050833333,0.179882672,0.042908563,0.02131019,42917.14654,28919.28142,125,1.101844124,0.818861455
Marshall Islands,,-0.165989012,0.276741974,0.187544524,,4716.918675,125,0.714784276,0.204513162
Mauritania,0.350333333,0.20082359,0.466517254,9.456918328,3901.182454,1764.548538,101,-0.648704015,0.321059033
Mauritius,0.202,0.005264245,0.582020379,0.066383376,10308.58403,10231.97891,78.83,0.883415215,0.580612779
Mexico,0.244333333,0.066937743,0.202843179,0.799083492,5650.228064,9730.22518,37.67,-0.757170886,0.569913507
Micronesia (Federated States of),,0.037670605,0.738568562,0.198127628,,3336.992476,,1.090148389,
Mongolia,0.255333333,0.153284923,0.30313533,36.41325563,4852.21837,4087.197472,26.67,0.742393591,0.52964744
Montenegro,0.127166667,0,0.322497567,0.386976512,20105.35343,7955.616234,98.17,0.060327173,0.580724299
Morocco,0.275666667,0.082572156,0.363424581,0.848898012,3214.091656,3379.498596,125,-0.363589086,0.539516389
Mozambique,0.704,0.231899714,0.646135096,1.42306299,458.2656526,515.348595,61.17,-0.871538099,0.26550281
Myanmar,0.2385,0.053368279,0.704268501,0.244563989,1304.195301,1257.231538,53.83,-1.289639875,0.215692863
Namibia,0.557666667,0.128020451,0.511016931,16.32063574,4855.227097,5063.567049,79.17,0.622344762,0.376553282
Nauru,,0.143601463,0,0.034267468,,9440.778725,,0.696768343,
Nepal,0.333833333,0.093688481,0.804210116,0.143633984,678.5570518,1039.108454,29.67,-0.579248033,0.331162944
Netherlands,0.050833333,0.032299893,0.073123599,0.106074084,69769.42093,51032.44044,67.17,0.910194524,0.832311869
New Caledonia,,0.024936075,0.283307853,0.646875443,,35167.06954,,,
New Zealand,0.128333333,0.136354765,0.125567111,2.220948558,51096.73044,42835.00298,53.17,1.497955009,0.687961161
Nicaragua,,0.103381784,0.38525109,0.777575836,2618.761745,1990.793977,60.17,-0.411428464,0.417343885
Niger,0.528333333,0.303567198,0.82435838,2.101685448,661.4063691,540.8988842,39.67,-1.332536206,0.157582238
Nigeria,0.458833333,0.189667151,0.468209754,0.353575245,5445.930167,2304.693273,28.83,-1.950544849,0.393867359
Niue,,0.056737589,0.446050594,2.654539996,,,,1.215841874,
North Macedonia,0.160166667,-0.000931463,0.409323787,0.599484015,7734.957602,5724.573812,125,-0.075922442,
Norway,0.046333333,0.051596336,0.169761139,0.187268863,105804.2975,78975.44116,84,1.164249524,0.793622524
Oman,,0.127505601,0.151052844,0.338434032,15279.88435,19002.5296,24.33,0.650198977,0.647747636
Pakistan,0.183333333,0.111165945,0.573439175,0.166387821,2462.072531,1422.191501,87.83,-2.220038816,0.382679194
Palau,,0.012811868,0.233022636,0.240099063,,14963.9888,,0.917780094,
Palestine,0.274,0.171880218,0.244609023,0.092620813,16771.35368,3486.121017,,-1.917510256,
Panama,,0.118924818,0.312296625,0.536930866,5599.27617,14334.526,83.33,0.3109533,0.560428172
Papua New Guinea,,0.175479342,0.776399107,0.13009884,2758.185896,2546.157751,125,-0.577918898,0.321117103
Paraguay,0.175166667,0.100657705,0.39999648,2.627360954,5697.88274,5960.195958,109.33,0.0026721,0.503029451
Peru,0.443166667,0.110744068,0.214811889,0.772046462,2969.21284,6522.630255,94,-0.324274516,0.535355419
Philippines,0.425666667,0.123909224,0.511314685,0.117323237,3088.153451,3164.910803,11.17,-0.977949955,0.465408966
Poland,0.063333333,-0.007105565,0.394442912,0.375674992,6333.555654,14744.74517,49,0.603517942,0.670489341
Portugal,0.122166667,-0.011362872,0.328048806,0.364186233,13174.34232,22067.43717,70.67,0.998355381,0.762069136
Puerto Rico,,-0.085387962,0.071749383,0.052131188,70774.12055,31130.92761,107.67,0.52742419,
Qatar,,0.213943323,0.007624705,0.029794638,13020.74949,65755.17088,125,0.817931175,0.694772959
Republic of Korea,0.051333333,0.0251611,0.185277142,0.032927648,20808.85442,31368.24258,76.5,0.404483421,0.849770606
Republic of Moldova,0.240833333,-0.082924547,0.745658509,0.716580283,4165.580063,3863.094297,,-0.307623051,
Romania,0.154,-0.033370748,0.455916995,0.697400183,4232.248572,11562.33174,81.67,0.280666347,0.631439328
Russian Federation,0.072666667,0.005667149,0.248129803,1.489321263,12316.98324,11002.67114,75.5,-0.748439729,0.716205984
Rwanda,,0.184144436,0.819244522,0.146874248,575.7254948,764.5162459,21.17,0.020165528,0.418503821
Saint Kitts and Nevis,0.2255,-0.003829333,0.831176742,0.125793219,,20705.3863,,0.718075894,
Saint Lucia,0.222,0.027728198,0.820785857,0.056096594,4217.655784,10413.17282,,0.914815202,
Saint Vincent and the Grenadines,0.333,-0.024131996,0.495159683,0.066283959,10383.10383,8048.553378,,0.950285144,
Samoa,0.236,0.084294473,0.756980125,0.280210357,4735.713493,4095.266779,70.5,1.159335092,0.336585805
Sao Tome and Principe,0.546,0.129672856,0.24883576,0.210001492,3136.289204,1910.527541,,0.359121842,
Saudi Arabia,,0.119058828,0.151955711,5.115894811,36805.28685,21429.2463,88.5,-0.555564914,0.666220933
Senegal,0.4085,0.208042085,0.537947599,0.580555623,2409.257054,1425.607645,104.5,-0.118404679,0.340286896
Serbia,0.125333333,0,0.515272582,0.47250411,5726.237777,6985.046077,65.5,0.03689196,0.645758927
Seychelles,0.143,0.08642769,0.380779743,0.01518706,,15516.14453,125,0.679553527,0.57678774
Sierra Leone,0.8255,0.179247854,0.552185635,0.510997309,1952.562712,531.7084436,125,-0.125508054,0.25301484
Singapore,0.039666667,0.066521473,0,0.000114786,56022.7727,62179.28389,125,1.444028094,0.869431108
Slovakia,0.058666667,0.005176242,0.46208419,0.347140458,35224.05266,18633.38134,,0.768416293,0.667647332
Slovenia,0.101833333,0.021443267,0.437810051,0.292183716,16599.81261,24663.27401,57.83,0.870318413,0.679650962
Solomon Islands,,0.184935761,0.697488596,0.175969475,,2278.37053,43.17,0.479578665,0.24207285
Somalia,0.774,0.282236056,0.517821456,2.950490405,,397.3341544,,-2.427527279,
South Africa,0.182,0.085195364,0.321391434,1.69121215,7842.070814,6521.700891,53.33,-0.277662339,0.614525408
South Sudan,0.85525,0,1.032401115,2.581785385,473.9231898,1158.463538,116,-2.420572191,
Spain,0.080166667,0.022003527,0.185301726,0.561264354,42631.1971,28376.86524,47.67,0.350713085,0.754082322
Sri Lanka,0.0745,0.025141132,0.788018991,0.129076674,2919.563702,4116.856046,19,-0.135123929,0.451576605
Sudan,0.467833333,0,0.629054032,1.681429275,4729.549559,1622.936859,49.33,-1.995476171,0.291776329
Suriname,0.358,0.076012582,0.320896922,0.145928783,30878.04187,6626.470808,125,0.219971288,0.459298015
Sweden,0.0525,0.073822868,0.114483701,0.299306551,79056.60406,54714.70526,89,1.006915502,0.817772895
Switzerland,0.0315,0.061508043,0.261225629,0.179471863,30314.80242,85490.76416,73.67,1.285840005,0.807892948
Syrian Arab Republic,,0.062381453,0.402990391,0.673183223,,887.1213905,,-2.763149679,0.291183203
Tajikistan,,0.17098925,0.715817763,0.541075139,1942.739503,899.9523197,71.17,-0.676283635,0.304568008
Thailand,0.249333333,0.023443938,0.464323015,0.320842674,3027.372972,6579.270457,68.83,-0.755834185,0.593473852
Timor-Leste,,0.114878928,0.729710313,0.272748661,1412.281792,1550.077451,,0.053567583,0.276283205
Togo,0.616666667,0.186110691,0.562478448,0.483002199,1216.339687,802.3820542,125,-0.623091914,0.229601562
Tokelau,,0.237617135,0.742563548,0.363053078,,,,,
Tonga,0.232,-0.005711553,0.812303687,0.324503651,11253.55873,4393.714809,25.17,0.929791003,0.310140625
Trinidad and Tobago,0.433,0.051701948,0.422550721,0.036309429,11394.71233,16570.33943,81.33,0.213974339,0.550460428
Tunisia,0.221333333,0.072972421,0.295114975,0.823794046,8646.5599,3760.662706,46.83,-0.874094911,0.540697753
Türkiye,,0.085304752,0.233586985,0.469504335,11073.36839,10099.64333,79.17,-1.412892148,0.614035755
Turkmenistan,,0.11984545,0.45335174,5.655390287,6263.65835,6746.265087,,-0.130865415,0.256058663
Tuvalu,,0.027984219,0.364869689,0.162904837,,4363.600998,125,1.304043189,0.26729615
Uganda,0.7125,0.261919249,0.79064676,0.35553849,753.7002087,828.5597605,24.67,-0.761951394,0.309038714
Ukraine,0.2075,-0.035807795,0.301249222,0.934216928,4228.653196,3175.086609,105.33,-1.654972464,0.494435936
United Arab Emirates,0.075,0.059891007,0.134773461,0.042455739,25442.35529,43319.09731,125,0.671525575,0.810995072
United Kingdom of Great Britain and Northern Ireland,0.0505,0.038712357,0.159470516,0.261280072,51364.0203,43396.03803,73.83,0.416596038,0.749723256
United Republic of Tanzania,0.550666667,0.251380392,0.651394861,0.687109113,830.7756884,1008.075272,,-0.48298119,
United States of America,0.09,0.046466093,0.16963941,1.229628238,91686.78922,61423.00563,23.83,0.318673475,0.733534843
Uruguay,0.233,0.010200899,0.045000088,4.186220402,23414.03913,17210.70028,35.67,1.035311982,0.744143575
Uzbekistan,0.1665,0.11938653,0.489436966,0.796237724,7227.355016,2139.70895,125,-0.300806826,0.355044529
Vanuatu,0.233,0.18230855,0.698477456,0.639367574,2853.668721,2915.256996,44.67,0.749424934,0.293205246
Venezuela (Bolivarian Republic of),,-0.066021063,0.138934414,0.737247221,,15975.72938,104.17,-1.261251956,0.494010523
Viet Nam,0.06625,0.068312496,0.631020086,0.122996791,1498.881331,3125.994432,26.17,0.050156067,0.494257763
Yemen,,0.188386111,0.575951724,0.778032174,1858.359223,1142.253292,,-2.762246817,0.261865288
Zambia,0.568333333,0.237347892,0.541371197,1.369308325,350.5888591,1326.957703,125,0.062353572,0.319233298
Zimbabwe,0.679833333,0.154287609,0.764455663,1.091049704,415.7634797,1533.61512,114.5,-0.805235878,0.315841526
